Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
949,Keane Group,"$2,137.0",38.6%,$59.3,-,"$1,054.6","$1,137.0",-,"2,833",-,2019,0,0
950,AMN Healthcare Services,"$2,136.1",7.4%,$141.7,6.9%,"$1,492.7","$2,206.9",7,"2,920",-,2019,1,0
951,Rayonier Advanced Materials,"$2,134.4",122.0%,$128.4,-60.5%,"$2,679.1",$675.3,-,"4,200",-,2019,0,0
952,Chico's FAS,"$2,131.1",-6.6%,$35.6,-64.7%,"$1,007.0",$497.4,-71,"11,751",-,2019,1,0
953,Superior Energy Services,"$2,130.3",13.7%,$-858.1,-,"$2,216.0",$728.2,38,"6,600",-,2019,0,0
954,Express,"$2,116.3",-1.0%,$9.6,-50.3%,"$1,086.6",$284.6,-27,"10,520",-,2019,0,0
955,SiteOne Landscape Supply,"$2,112.3",13.5%,$73.9,35.3%,"$1,168.5","$2,341.9",41,"4,137",-,2019,0,0
956,Beazer Homes USA,"$2,107.8",10.0%,$-45.4,-242.6%,"$2,128.1",$369.9,27,"1,280",-,2019,0,0
957,Allscripts Healthcare Solutions,"$2,105.0",15.8%,$363.7,-,"$3,181.5","$1,634.5",-,"9,500",-,2019,0,0
958,Modine Manufacturing,"$2,103.1",39.9%,$22.2,56.3%,"$1,573.4",$702.2,-,"11,700",-,2019,0,0
959,Summit Materials,"$2,101.0",8.7%,$33.9,-72.2%,"$3,857.6","$1,772.2",16,"6,000",-,2019,0,1
960,Teradyne,"$2,100.8",-1.7%,$451.8,75.3%,"$2,706.6","$6,899.4",-32,"4,900",-,2019,0,0
961,EchoStar,"$2,091.4",2.6%,$-40.5,-110.3%,"$8,661.3","$3,475.3",-12,"2,200",-,2019,0,0
962,SPX FLOW,"$2,090.1",7.1%,$44.0,-5.2%,"$2,551.8","$1,356.8",5,"7,000",-,2019,0,0
963,William Lyon Homes,"$2,087.2",16.2%,$91.6,90.3%,"$2,929.8",$596.0,-,870,-,2019,0,0
964,Evercore,"$2,082.5",20.8%,$377.2,200.7%,"$2,125.7","$3,730.6",-,"1,700",-,2019,0,0
965,Whiting Petroleum,"$2,081.4",40.5%,$342.5,-,"$7,759.6","$2,400.6",-,755,-,2019,0,0
966,MKS Instruments,"$2,075.1",8.3%,$392.9,15.9%,"$2,614.2","$5,045.6",18,"4,851",-,2019,0,0
967,Ferrellgas Partners,"$2,073.1",7.4%,$-254.6,-,"$1,363.3",$127.3,10,"4,037",-,2019,0,0
968,Tupperware Brands,"$2,069.7",-8.2%,$155.9,-,"$1,308.8","$1,244.9",-74,"12,000",-,2019,0,0
969,SM Energy,"$2,067.1",83.0%,$508.4,-,"$6,352.9","$1,963.1",-,611,-,2019,0,0
970,Rexnord,"$2,066.0",7.7%,$75.9,2.4%,"$3,423.7","$2,633.9",12,"8,300",-,2019,0,0
971,Eldorado Resorts,"$2,056.0",39.5%,$95.2,28.8%,"$5,911.5","$3,615.4",-,"18,700",-,2019,0,0
972,Nuance Communications,"$2,051.7",5.8%,$-159.9,-,"$5,302.4","$4,832.1",-1,"10,400",-,2019,0,0
973,Newmark Group,"$2,047.6",28.3%,$106.7,-26.1%,"$3,454.2","$1,485.8",-,"5,200",-,2019,0,0
974,Ensign Group,"$2,040.7",10.3%,$92.4,128.2%,"$1,182.0","$2,697.5",25,"23,463",-,2019,0,0
975,Esterline Technologies,"$2,034.8",1.5%,$69.5,-37.7%,"$3,036.9",-,-20,"12,609",-,2019,0,0
976,Universal,"$2,033.9",-1.8%,$105.7,-0.6%,"$2,168.6","$1,439.0",-38,"24,000",-,2019,0,0
977,Contura Energy,"$2,032.5",1.8%,$299.2,93.6%,"$2,746.1","$1,111.3",-,"4,420",-,2019,0,0
978,FTI Consulting,"$2,027.9",12.2%,$150.6,39.5%,"$2,379.1","$2,908.7",-,"4,768",-,2019,0,0
979,Generac Holdings,"$2,023.5",21.0%,$238.3,49.5%,"$2,426.3","$3,182.9",-,"5,355",-,2019,0,0
980,Winnebago Industries,"$2,016.8",30.4%,$102.4,43.5%,"$1,051.8",$992.9,-,"4,700",-,2019,0,0
981,Brown & Brown,"$2,014.2",7.1%,$344.3,-13.9%,"$6,688.7","$8,316.8",7,"9,590",-,2019,0,0
982,Kraton,"$2,011.7",2.6%,$67.0,-31.3%,"$2,894.7","$1,027.3",-18,"1,918",-,2019,0,0
983,Vail Resorts,"$2,011.6",5.5%,$379.9,80.4%,"$4,065.0","$8,734.7",2,"20,150",-,2019,0,0
984,Tribune Media,"$2,009.7",7.6%,$412.6,112.5%,"$8,251.4","$4,072.5",10,"5,800",-,2019,0,0
985,Healthcare Services Group,"$2,008.8",7.6%,$83.5,-5.3%,$692.6,"$2,442.4",10,"55,000",-,2019,0,0
986,Alliance Resource Partners,"$2,002.9",11.5%,$366.6,20.7%,"$2,394.7","$2,614.0",-,"3,599",-,2019,0,0
987,NCI Building Systems,"$2,000.6",13.0%,$63.1,15.3%,"$1,110.4",$772.9,-,"5,300",-,2019,0,0
988,Hilton Grand Vacations,"$1,999.0",-,$298.0,-,"$2,753.0","$2,866.7",-,"8,600",-,2019,0,0
989,Deluxe,"$1,998.0",1.7%,$149.6,-35.0%,"$2,305.1","$1,907.8",-27,"6,701",-,2019,0,0
990,Stepan,"$1,993.9",3.6%,$112.8,23.1%,"$1,484.7","$1,979.2",-11,"2,250",-,2019,0,0
991,Hovnanian Enterprises,"$1,991.2",-18.8%,$4.5,-,"$1,662.0",$66.1,-149,"1,851",-,2019,0,0
992,Portland General Electric,"$1,991.0",-0.9%,$212.0,13.4%,"$8,110.0","$4,631.7",-39,"2,967",-,2019,1,0
993,HC2 Holdings,"$1,976.7",21.0%,$162.0,-,"$6,503.8",$110.2,-,"4,119",-,2019,0,0
993,Herc Holdings,"$1,976.7",12.7%,$69.1,-56.9%,"$3,610.2","$1,111.9",-,"4,900",-,2019,0,0
995,Align Technology,"$1,966.5",33.5%,$400.2,72.9%,"$2,052.5","$22,743.4",-,"11,660",-,2019,0,0
996,Spire,"$1,965.0",12.9%,$214.2,32.5%,"$6,843.6","$4,175.4",-,"3,366",-,2019,1,0
997,Shutterfly,"$1,961.8",64.8%,$50.4,67.5%,"$2,302.2","$1,384.5",-,"7,094",-,2019,0,0
998,NuStar Energy,"$1,961.8",8.1%,$205.8,39.1%,"$6,349.1","$2,897.7",-,"1,517",-,2019,0,0
999,ManTech International,"$1,958.6",14.1%,$82.1,-28.1%,"$1,803.9","$2,148.4",-,"7,800",-,2019,0,0
"1,000",Carvana,"$1,955.5",127.7%,$-61.8,-,$991.0,"$8,449.9",-,"3,879",-,2019,0,0
1,Walmart,"$523,964",1.9%,"$14,881",123.1%,"$236,495","$321,803.3",-,"2,200,000",-,2020,0,0
2,Amazon.com,"$280,522",20.5%,"$11,588",15%,"$225,248","$970,680.1",3,"798,000",3,2020,0,1
3,Exxon Mobil,"$264,938",-8.7%,"$14,340",-31.2%,"$362,597","$160,696.3",-1,"74,900",-1,2020,0,0
4,Apple,"$260,174",-2%,"$55,256",-7.2%,"$338,516","$1,112,640.8",-1,"137,000",-1,2020,0,0
5,CVS Health,"$256,776",32%,"$6,634",-,"$222,449","$77,375.8",3,"290,000",3,2020,0,0
6,Berkshire Hathaway,"$254,616",2.7%,"$81,417",1924.8%,"$817,729","$442,897.1",-2,"391,500",-2,2020,0,0
7,UnitedHealth Group,"$242,155",7%,"$13,839",15.5%,"$173,889","$236,555.2",-1,"325,000",-1,2020,0,0
8,McKesson,"$214,319",2.9%,$34,-49.3%,"$59,672","$21,845",-1,"70,000",-1,2020,0,0
9,AT&T,"$181,193",6.1%,"$13,903",-28.2%,"$551,669","$209,387.5",-,"247,800",-,2020,0,0
10,AmerisourceBergen,"$179,589.1",6.9%,$855.4,-48.4%,"$39,172","$18,221.4",-,"21,500",-,2020,0,0
11,Alphabet,"$161,857",18.3%,"$34,343",11.7%,"$275,909","$798,905.3",4,"118,899",4,2020,0,0
12,Ford Motor,"$155,900",-2.8%,$47,-98.7%,"$258,537","$19,150.6",-,"190,000",-,2020,0,0
13,Cigna,"$153,566",215.7%,"$5,104",93.6%,"$155,774","$65,896.7",52,"73,700",52,2020,0,0
14,Costco Wholesale,"$152,703",7.9%,"$3,659",16.8%,"$45,400","$125,907.7",-,"201,500",-,2020,0,0
15,Chevron,"$146,516",-11.9%,"$2,924",-80.3%,"$237,428","$136,175.9",-4,"48,200",-4,2020,0,0
16,Cardinal Health,"$145,534",6.4%,"$1,363",432.4%,"$40,963","$13,988.1",-,"49,500",-,2020,0,0
17,JPMorgan Chase,"$142,422",8.4%,"$36,431",12.2%,"$2,687,379","$276,750.1",1,"256,981",1,2020,0,0
18,General Motors,"$137,237",-6.7%,"$6,732",-16%,"$228,037","$29,694.7",-5,"164,000",-5,2020,1,0
19,Walgreens Boots Alliance,"$136,866",4.1%,"$3,982",-20.7%,"$67,598","$40,528.2",-2,"287,000",-2,2020,0,0
20,Verizon Communications,"$131,868",0.8%,"$19,265",24.1%,"$291,727","$222,220",-1,"135,000",-1,2020,0,0
21,Microsoft,"$125,843",14%,"$39,240",136.8%,"$286,556","$1,199,549.7",5,"144,000",5,2020,0,0
22,Marathon Petroleum,"$124,813",28.5%,"$2,637",-5.1%,"$98,556","$15,353",9,"60,910",9,2020,0,0
23,Kroger,"$122,286",0.9%,"$1,659",-46.7%,"$45,256","$24,113.7",-3,"435,000",-3,2020,0,0
24,Fannie Mae,"$120,304",0.2%,"$14,160",-11.3%,"$3,503,319","$1,841.4",-2,"7,500",-2,2020,0,0
25,Bank of America,"$113,589",2.7%,"$27,430",-2.5%,"$2,434,079","$185,226.9",-,"208,131",-,2020,0,0
26,Home Depot,"$110,225",1.9%,"$11,242",1.1%,"$51,236","$200,665",1,"415,700",1,2020,0,0
27,Phillips 66,"$109,559",-4.1%,"$3,076",-45%,"$58,720","$23,490",-4,"14,500",-4,2020,0,0
28,Comcast,"$108,942",15.3%,"$13,057",11.3%,"$263,414","$156,533.3",4,"190,000",4,2020,0,0
29,Anthem,"$104,213",13.1%,"$4,807",28.2%,"$77,453","$57,245.2",4,"70,600",4,2020,1,0
30,Wells Fargo,"$103,915",2.8%,"$19,549",-12.7%,"$1,927,555","$117,365.7",-1,"259,800",-1,2020,0,0
31,Citigroup,"$103,449",6.5%,"$19,401",7.5%,"$1,951,158","$88,376.5",-1,"200,000",-1,2020,0,0
32,Valero Energy,"$102,729",-7.8%,"$2,422",-22.4%,"$53,864","$18,531.6",-8,"10,222",-8,2020,0,0
33,General Electric,"$95,214",-20.8%,"$-4,979",-,"$266,048","$69,406.1",-12,"205,000",-12,2020,0,0
34,Dell Technologies,"$92,154",1.7%,"$4,616",-,"$118,861","$29,246.2",-,"165,000",-,2020,0,0
35,Johnson & Johnson,"$82,059",0.6%,"$15,119",-1.2%,"$157,728","$345,704.9",2,"132,200",2,2020,0,0
36,State Farm Insurance,"$79,395.3",-2.9%,"$5,592.7",-36.4%,"$294,823.2",-,-,"57,672",-,2020,0,0
37,Target,"$78,112",3.7%,"$3,281",11.7%,"$42,779","$46,574.4",2,"368,000",2,2020,0,0
38,International Business Machines,"$77,147",-3.1%,"$9,431",8.1%,"$152,186","$98,551.1",-,"383,800",-,2020,0,0
39,Raytheon Technologies,"$77,046",15.9%,"$5,537",5.1%,"$139,716","$81,705.3",7,"243,200",7,2020,0,0
40,Boeing,"$76,559",-24.3%,$-636,-106.1%,"$133,625","$84,148.6",-12,"161,100",-12,2020,0,0
41,Freddie Mac,"$75,125",2.1%,"$7,214",-21.9%,"$2,203,623",$908.7,-1,"6,892",-1,2020,0,0
42,Centene,"$74,639",24.2%,"$1,321",46.8%,"$40,994","$34,862.4",9,"56,600",9,2020,0,0
43,United Parcel Service,"$74,094",3.1%,"$4,440",-7.3%,"$57,857","$80,196.1",-2,"377,640",-2,2020,1,0
44,Lowe's,"$72,148",1.2%,"$4,281",85%,"$39,471","$64,963.3",-2,"260,000",-2,2020,0,0
45,Intel,"$71,965",1.6%,"$21,048",-,"$136,524","$231,661.9",-2,"110,800",-2,2020,0,0
46,Facebook,"$70,697",26.6%,"$18,485",-16.4%,"$133,376","$475,455.2",11,"44,942",11,2020,0,1
47,FedEx,"$69,693",6.5%,$540,-88.2%,"$54,403","$31,679.1",-,"389,500",-,2020,0,1
48,MetLife,"$69,620",2.5%,"$5,899",15.1%,"$740,463","$27,996.9",-4,"49,000",-4,2020,0,0
49,Walt Disney,"$69,570",17.1%,"$11,054",-12.3%,"$193,984","$174,405.4",4,"223,000",4,2020,0,0
50,Procter & Gamble,"$67,684",1.3%,"$3,897",-60%,"$115,095","$271,639.8",-5,"97,000",-5,2020,0,0
51,PepsiCo,"$67,161",3.9%,"$7,314",-41.6%,"$78,547","$166,847.8",-3,"267,000",-3,2020,0,0
52,Humana,"$64,888",14%,"$2,707",60.8%,"$29,074","$41,489.5",4,"46,000",4,2020,0,0
53,Prudential Financial,"$64,807",2.9%,"$4,186",2.7%,"$896,552","$20,649.7",-3,"51,511",-3,2020,0,0
54,Archer Daniels Midland,"$64,656",0.5%,"$1,379",-23.8%,"$43,997","$19,602.6",-5,"38,100",-5,2020,0,0
55,Albertsons,"$60,534.5",1%,$131.1,183.2%,"$20,776.6",-,-3,"267,000",-3,2020,0,0
56,Sysco,"$60,113.9",2.4%,"$1,674.3",17%,"$17,966.5","$23,203.2",-2,"69,000",-2,2020,0,0
57,Lockheed Martin,"$59,812",11.3%,"$6,230",23.5%,"$47,528","$95,539.3",3,"110,000",3,2020,0,0
58,HP,"$58,756",0.5%,"$3,152",-40.8%,"$33,467","$24,820.7",-3,"56,000",-3,2020,0,0
59,Energy Transfer,"$54,213",-0.4%,"$3,592",112%,"$98,880","$12,373.5",-,"12,812",-,2020,0,0
60,Goldman Sachs Group,"$53,922",2.7%,"$8,466",-19.1%,"$992,968","$55,416.7",2,"38,300",2,2020,0,0
61,Morgan Stanley,"$53,823",7.2%,"$9,042",3.4%,"$895,429","$52,101.5",2,"60,431",2,2020,0,0
62,Caterpillar,"$53,800",-1.7%,"$6,093",-0.9%,"$78,453","$63,831.6",-4,"102,300",-4,2020,0,0
63,Cisco Systems,"$51,904",5.2%,"$11,621",10464.5%,"$97,793","$166,709",1,"75,900",1,2020,0,0
64,Pfizer,"$51,750",-3.5%,"$16,273",45.9%,"$167,489","$181,074.9",-3,"88,300",-3,2020,0,0
65,HCA Healthcare,"$51,336",10%,"$3,505",-7.4%,"$45,058","$30,411.4",2,"245,000",2,2020,0,0
66,American International Group,"$49,746",5%,"$3,348",-,"$525,064","$20,886.3",-,"46,000",-,2020,0,0
67,American Express,"$47,020",8.6%,"$6,759",-2.3%,"$198,321","$68,982.7",5,"64,500",5,2020,0,0
68,Delta Air Lines,"$47,007",5.8%,"$4,767",21.1%,"$64,532","$18,261.9",1,"91,224",1,2020,0,0
69,Merck,"$46,840",10.7%,"$9,843",58.2%,"$84,397","$195,140.5",7,"71,000",7,2020,0,0
70,American Airlines Group,"$45,768",2.8%,"$1,686",19.4%,"$59,995","$5,193.7",-2,"133,700",-2,2020,0,0
71,Charter Communications,"$45,764",4.9%,"$1,668",35.6%,"$148,188","$111,924",-1,"95,100",-1,2020,0,0
72,Allstate,"$44,675",12.2%,"$4,847",115.2%,"$119,950","$29,070.5",10,"46,035",10,2020,0,0
73,New York Life Insurance,"$44,116.6",1.6%,"$1,003.8",14.1%,"$330,806.3",-,-2,"11,519",-2,2020,0,0
74,Nationwide,"$43,982",1.6%,$829.7,61.9%,"$239,539.6",-,-1,"28,114",-1,2020,0,0
75,Best Buy,"$43,638",1.8%,"$1,541",5.3%,"$15,591","$14,647.4",-1,"125,000",-1,2020,1,0
76,United Airlines Holdings,"$43,259",4.7%,"$3,009",41.3%,"$52,611","$7,822.9",2,"96,000",2,2020,0,0
77,Liberty Mutual Insurance Group,"$43,228",1.3%,"$1,044",-51.7%,"$133,644",-,-2,"45,000",-2,2020,0,0
78,Dow,"$42,951",-,"$-1,359",-,"$60,524","$21,716",-,"36,500",-,2020,0,0
79,Tyson Foods,"$42,405",5.9%,"$2,022",-33.1%,"$33,097","$21,124.8",1,"141,000",1,2020,0,0
80,TJX,"$41,717",7%,"$3,272.2",6.9%,"$24,145","$57,262",5,"286,000",5,2020,0,0
81,TIAA,"$40,454.4",-1.5%,"$2,460.1",57.6%,"$615,042.3",-,-2,"16,533",-2,2020,0,0
82,Oracle,"$39,506",-0.8%,"$11,083",189.8%,"$108,709","$152,412.7",-1,"136,000",-1,2020,1,0
83,General Dynamics,"$39,350",8.7%,"$3,484",4.2%,"$48,841","$38,398.1",9,"102,900",9,2020,1,0
84,Deere,"$39,258",5.1%,"$3,253",37.4%,"$73,011","$43,329.7",3,"73,489",3,2020,0,0
85,Nike,"$39,117",7.5%,"$4,029",108.4%,"$23,717","$128,857",5,"76,700",5,2020,0,0
86,Progressive,"$39,022.3",22%,"$3,970.3",51.8%,"$54,895.3","$43,218.4",13,"41,571",13,2020,1,0
87,Publix Super Markets,"$38,462.8",5.7%,"$3,005.4",26.2%,"$24,507.1",-,4,"207,000",4,2020,0,0
88,Coca-Cola,"$37,266",17%,"$8,920",38.6%,"$86,381","$189,983",12,"86,200",12,2020,0,0
89,Massachusetts Mutual Life Insurance,"$37,253.4",-5.1%,"$3,700.7",830.1%,"$290,730.7",-,-5,"9,896",-5,2020,0,0
90,Tech Data,"$36,998.4",-0.6%,$374.5,10%,"$13,268.6","$4,645",-2,"15,000",-2,2020,0,0
91,World Fuel Services,"$36,819",-7.4%,$178.9,40.1%,"$5,992.4","$1,646.9",-8,"5,500",-8,2020,0,0
92,Honeywell International,"$36,709",-12.2%,"$6,143",-9.2%,"$58,679","$94,627.9",-15,"113,000",-15,2020,0,0
93,ConocoPhillips,"$36,670",-5.3%,"$7,189",14.9%,"$70,514","$33,167.3",-7,"10,400",-7,2020,0,0
94,USAA,"$35,617.4",13.5%,"$4,006.3",74.8%,"$173,732.6",-,7,"35,076",7,2020,0,0
95,Exelon,"$34,438",-4.3%,"$2,936",46.1%,"$124,977","$35,850.4",-2,"32,713",-2,2020,0,0
96,Northrop Grumman,"$33,841",12.4%,"$2,248",-30.4%,"$41,089","$50,718.6",12,"90,000",12,2020,1,0
97,Capital One Financial,"$33,766",4.3%,"$5,546",-7.8%,"$390,365","$23,063.2",1,"51,900",1,2020,0,1
98,Plains GP Holdings,"$33,669",-1.1%,$331,-0.9%,"$29,969","$1,021.8",-4,"5,000",-4,2020,0,0
99,AbbVie,"$33,266",1.6%,"$7,882",38.6%,"$89,115","$112,507.7",-3,"30,000",-3,2020,0,0
100,StoneX,"$32,897",19.1%,$85.1,53.3%,"$9,936.1",$699.9,12,"2,012",12,2020,0,0
101,Enterprise Products Partners,"$32,789.2",-10.3%,"$4,591.3",10%,"$61,733.2","$31,305.9",-12,"7,300",-12,2020,0,0
102,Northwestern Mutual,"$32,293.6",10.9%,"$1,268",61.9%,"$290,318",-,9,"5,964",9,2020,0,0
103,3M,"$32,136",-1.9%,"$4,570",-14.6%,"$44,659","$78,528.8",-8,"96,163",-8,2020,0,0
104,Abbott Laboratories,"$31,904",4.3%,"$3,687",55.7%,"$67,887","$139,152.5",-1,"107,000",-1,2020,0,0
105,CHS,"$31,900.5",-2.4%,$829.9,7%,"$16,447.5",-,-8,"10,703",-8,2020,0,0
106,Travelers,"$31,581",4.3%,"$2,622",3.9%,"$110,122","$25,337.3",-,"30,800",-,2020,0,0
107,Philip Morris International,"$29,805",0.6%,"$7,185",-9.2%,"$42,875","$113,606.4",3,"73,500",3,2020,0,0
108,Raytheon,"$29,176",7.8%,"$3,343",14.9%,"$34,566","$36,517.5",6,"70,000",6,2020,0,0
109,Hewlett Packard Enterprise,"$29,135",-5.6%,"$1,049",-45%,"$51,803","$12,509.8",-7,"61,600",-7,2020,0,0
110,Arrow Electronics,"$28,916.8",-2.6%,$-204.1,-128.5%,"$16,400.8","$4,182.9",-1,"19,300",-1,2020,0,0
111,ViacomCBS,"$27,812",91.6%,"$3,308",68.8%,"$49,519","$8,798.2",106,"26,280",106,2020,0,0
112,Dollar General,"$27,754",8.3%,"$1,712.6",7.7%,"$22,825.1","$38,045.7",7,"143,000",7,2020,0,0
113,U.S. Bancorp,"$27,325",6%,"$6,914",-2.6%,"$495,426","$52,407.5",4,"69,651",4,2020,0,0
114,Starbucks,"$26,508.6",7.2%,"$3,599.2",-20.3%,"$19,219.6","$77,178.6",7,"346,000",7,2020,0,0
115,Bristol-Myers Squibb,"$26,145",15.9%,"$3,439",-30.1%,"$129,944","$126,109.7",23,"30,000",23,2020,0,0
116,US Foods Holding,"$25,939",7.3%,$385,-5.4%,"$11,288","$3,898.4",9,"28,000",9,2020,0,0
117,Mondelez International,"$25,868",-0.3%,"$3,870",14.5%,"$64,549","$71,761.8",-1,"80,000",-1,2020,0,0
118,Paccar,"$25,599.7",9%,"$2,387.9",8.8%,"$28,361.1","$21,174.9",12,"27,000",12,2020,0,0
119,Thermo Fisher Scientific,"$25,542",4.9%,"$3,696",25.8%,"$58,381","$113,107.7",5,"75,000",5,2020,0,0
120,Macy's,"$25,331",-1.6%,$564,-49.1%,"$21,172","$1,520.4",-2,"123,000",-2,2020,0,0
121,Jabil,"$25,282.3",14.4%,$287.1,232.6%,"$12,970.5","$3,738.4",19,"200,000",19,2020,0,0
122,Kraft Heinz,"$24,977",-4.9%,"$1,935",-,"$101,450","$30,226.3",-7,"37,000",-7,2020,0,0
123,Duke Energy,"$24,658",2.2%,"$3,748",40.6%,"$158,838","$59,368.2",3,"28,793",3,2020,1,0
124,Tesla,"$24,578",14.5%,$-862,-,"$34,309","$96,473.4",20,"48,016",20,2020,0,1
125,PBF Energy,"$24,508.2",-9.9%,$319.4,148.9%,"$9,132.4",$848.1,-12,"3,442",-12,2020,0,0
126,Qualcomm,"$24,273",7.4%,"$4,386",-,"$32,957","$77,326.8",11,"37,000",11,2020,0,0
127,NGL Energy Partners,"$24,087.8",39.4%,$360,-,"$5,902.5",$333.7,52,"1,300",52,2020,0,0
128,CBRE Group,"$23,894.1",12%,"$1,282.4",20.6%,"$16,197.2","$12,625",18,"100,000",18,2020,0,0
129,Baker Hughes,"$23,838",4.2%,$128,-34.4%,"$53,369","$10,827.3",-,"68,000",-,2020,0,0
130,Synnex,"$23,757.3",18.5%,$500.7,66.6%,"$11,698","$3,718.9",28,"240,900",28,2020,0,0
131,Dollar Tree,"$23,610.8",3.5%,$827,-,"$19,574.6","$17,398.5",4,"125,000",4,2020,0,0
132,Cummins,"$23,571",-0.8%,"$2,260",5.6%,"$19,737","$20,043.9",-4,"61,615",-4,2020,0,0
133,United Natural Foods,"$23,481.1",129.6%,$-285,-272%,"$7,181",$492.2,177,"19,000",177,2020,0,0
134,Micron Technology,"$23,406",-23%,"$6,313",-55.3%,"$48,887","$46,778.5",-29,"37,000",-29,2020,0,0
135,Amgen,"$23,362",-1.6%,"$7,842",-6.6%,"$59,707","$119,571.5",-6,"23,400",-6,2020,0,0
136,Penske Automotive Group,"$23,179.4",1.7%,$435.8,-7.5%,"$13,942.7","$2,264.9",-,"26,980",-,2020,0,0
137,Visa,"$22,977",11.5%,"$12,080",17.3%,"$72,574","$316,199.1",16,"19,500",16,2020,0,0
138,Broadcom,"$22,597",8.4%,"$2,724",-77.8%,"$67,493","$94,790.5",12,"19,000",12,2020,0,0
139,Nucor,"$22,588.9",-9.9%,"$1,271.1",-46.2%,"$18,344.7","$10,846.8",-19,"26,800",-19,2020,0,0
140,Gilead Sciences,"$22,449",1.5%,"$5,386",-1.3%,"$61,627","$94,124",-1,"11,800",-1,2020,0,0
141,Southwest Airlines,"$22,428",2.1%,"$2,300",-6.7%,"$25,895","$18,420.9",1,"60,767",1,2020,0,0
142,Halliburton,"$22,408",-6.6%,"$-1,131",-168.3%,"$25,377","$6,027.4",-15,"55,000",-15,2020,0,0
143,CenturyLink,"$22,401",-4.4%,"$-5,269",-,"$64,742","$10,307.1",-11,"42,500",-11,2020,0,0
144,International Paper,"$22,376",-4%,"$1,225",-39.1%,"$33,471","$12,206.8",-11,"51,000",-11,2020,0,0
145,Eli Lilly,"$22,319.5",-9.1%,"$8,318.4",157.4%,"$39,286.1","$132,760.4",-22,"33,625",-22,2020,0,0
146,Aflac,"$22,307",2.5%,"$3,304",13.2%,"$152,768","$24,738.8",-3,"11,729",-3,2020,0,0
147,Lennar,"$22,259.6",8.2%,"$1,849.1",9%,"$29,359.5","$11,590.8",7,"10,106",7,2020,0,0
148,Occidental Petroleum,"$21,971",16%,$-667,-116.1%,"$109,330","$10,366.7",19,"14,400",19,2020,1,0
149,Union Pacific,"$21,708",-4.9%,"$5,919",-0.8%,"$61,673","$97,354.5",-15,"37,483",-15,2020,0,0
150,Rite Aid,"$21,674.4",-28.3%,$-422.2,-144.8%,"$7,591.4",$822.3,-43,"42,645",-43,2020,1,0
151,PNC Financial Services Group,"$21,624",8.2%,"$5,369",1.3%,"$410,295","$41,037.7",8,"50,968",8,2020,0,0
152,DuPont,"$21,512",-75%,$498,-87%,"$69,396","$25,213.1",-117,"35,000",-117,2020,0,0
153,Southern,"$21,419",-8.8%,"$4,739",112.9%,"$118,700","$57,075.9",-22,"27,943",-22,2020,0,0
154,AutoNation,"$21,335.7",-0.4%,$450,13.6%,"$10,543.3","$2,510.7",-9,"25,000",-9,2020,0,0
155,DXC Technology,"$21,184",-13.7%,"$1,257",-28.2%,"$29,574","$3,311.1",-33,"130,000",-33,2020,0,0
156,McDonald's,"$21,076.5",0.2%,"$6,025.4",1.7%,"$47,510.8","$123,259.6",-7,"205,000",-7,2020,0,0
157,Marriott International,"$20,972",1%,"$1,273",-33.2%,"$25,051","$24,254.5",-6,"174,000",-6,2020,0,0
158,ManpowerGroup,"$20,863.5",-5.1%,$465.7,-16.3%,"$9,223.8","$3,109.4",-17,"28,000",-17,2020,0,0
159,Bank of New York Mellon,"$20,822",8.4%,"$4,441",4.1%,"$381,508","$29,808.5",4,"48,400",4,2020,0,0
160,Hartford Financial Services Group,"$20,740",4.6%,"$2,085",15.4%,"$70,817","$12,624.8",1,"19,500",1,2020,0,0
161,Danaher,"$20,521.2",3.2%,"$3,008.2",13.5%,"$62,081.6","$96,457.3",-1,"60,000",-1,2020,0,0
162,Whirlpool,"$20,419",-2.9%,"$1,184",-,"$18,881","$5,377.8",-14,"77,000",-14,2020,0,0
163,AECOM,"$20,173.3",0.1%,$-261.1,-291.3%,"$14,461.6","$4,734.9",-6,"86,000",-6,2020,0,0
164,Netflix,"$20,156.4",27.6%,"$1,866.9",54.1%,"$33,975.7","$164,771.9",33,"8,600",33,2020,0,1
165,Kohl's,"$19,974",-1.3%,$691,-13.7%,"$14,555","$2,265",-9,"79,500",-9,2020,1,0
166,Lear,"$19,810.3",-6.3%,$753.6,-34.5%,"$12,680.7","$4,913.4",-19,"164,100",-19,2020,0,0
167,Altria Group,"$19,796",0.9%,"$-1,293",-118.6%,"$49,271","$71,863",-5,"7,300",-5,2020,0,0
168,Performance Food Group,"$19,743.5",12.1%,$166.8,-16.1%,"$4,653.5","$2,896.7",8,"18,000",8,2020,0,0
169,Avnet,"$19,518.6",2.5%,$176.3,-,"$8,564.6","$2,505.9",-4,"15,500",-4,2020,0,0
170,Synchrony Financial,"$19,461",6.6%,"$3,747",34.3%,"$104,826","$9,870.8",3,"16,500",3,2020,1,0
171,Genuine Parts,"$19,392.3",3.5%,$621.1,-23.4%,"$14,645.6","$9,788.5",-2,"55,000",-2,2020,0,0
172,NextEra Energy,"$19,204",14.8%,"$3,769",-43.2%,"$117,691","$117,655",12,"14,800",12,2020,0,0
